Unnamed: 0,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,Total Impact Score
0,1,Rachel Lane,PG,25,32.71871580240649,6.708503374565513,14.28468759986427,0.469628987520123,0.7581192460073384,2.141630666138882,0.3539915906107852,5.731816430113659,12.143056933725388,0.4720241749171462,0.4961650682256801,4.044443653223966,5.194438567102093,0.7786103543198329,0.7497464286730424,2.061011567531013,2.810757996204056,4.153710691204992,0.9010967867230222,0.4141658432216613,3.268182589781772,2.417767148760055,18.21956964836233,GSW,78,32.71871580240649,0.666236704694229,-2.3039295058292315,-1.6376928011350025,-1.7414541732894528,12.712323011933275,97.826739078862,22,23.23111837593429
1,2,Andrew Brown,SF,23,26.99873074947044,7.049138774544541,14.352978454409916,0.4911272456051594,-0.1592031748464075,-0.4416872999420445,0.3604431797502377,5.651806338509402,14.79466575435196,0.3820164938060112,0.4855812477709088,1.343627902203139,1.659121335469094,0.8098430617934562,0.8842164085302914,2.072679202118513,2.956895610648804,4.894879642093278,1.1164136005048728,0.4093320779176082,3.63846657999541,2.6199577968329795,15.282702276445812,BOS,56,26.99873074947044,-0.3469448471647215,-0.9033110867678664,-1.250255933932588,-0.7876242109907184,4.607390048162863,94.40077895802644,43,21.02175662761497
2,3,Haley Atkins,SG,31,32.9106139735652,6.301444381896869,13.50609042006016,0.4665631715701782,1.9403011321393389,5.951090254244718,0.3260412881077354,3.5562673996173984,7.555000165815441,0.4707170511668091,0.5383937706478163,1.7873300519879436,2.414691973336123,0.7401896687959664,0.8002272448374327,2.785440974953419,3.585668219790852,5.775496919186715,1.5577329320435045,0.5509995594489472,4.012525822394198,3.449368019999576,16.33051994792102,OKC,78,32.9106139735652,-0.2160303647410015,3.0105986936760725,2.794568328935071,2.989056183630832,13.80818012523817,94.77440122697438,20,23.787891755996835
3,4,Jasmin Vasquez,PF,23,26.101490596700607,7.311136421986321,13.546314994614423,0.5397140421504293,1.153531974315858,3.1613790834600524,0.3648825224254173,4.450923418014164,10.384935911154372,0.428594211470623,0.5822913768268511,1.1628070739688838,1.4364210887626383,0.8095168492482584,2.154329154358356,5.146649001862833,7.300978156221189,1.1561036396560742,0.7548398425220653,0.61377693124201,2.7357538294764865,2.925662763400673,16.938611892257384,LAL,75,26.101490596700607,2.1149439339981626,1.0827701327734058,3.197714066771568,2.6082844888992294,4.665160574102369,102.4631473575308,25,24.02855663242224
4,5,Meredith Patterson,SF,30,30.4853877467402,2.901469024795883,9.145940207471526,0.3172411976218265,0.8886451124516866,2.6910358877775327,0.3302241774209853,3.005036536262588,6.454904319693993,0.4655431571765028,0.3658225950666585,4.905872653067019,6.196654698077563,0.7916969545824468,1.532871401029349,2.682912292706336,4.215783693735685,4.937289981065779,0.7191787624490591,0.5017013560206696,3.114938830094755,1.0843795467629855,11.597455815110472,HOU,69,30.4853877467402,-2.829170425401787,4.211876215977881,1.382705790576094,1.2118792622545365,11.907245977441798,89.63247689004888,56,18.85647077828691
5,6,David Bell,PG,35,27.791169883869934,14.449596458398013,25.898284787813942,0.5579364261681552,2.1929799406424557,6.46355675343222,0.3392837758371903,8.658954354341075,19.434728034381727,0.4455402894767877,0.600274750088246,5.455666228331735,7.094065185196934,0.769046531982252,1.0644233046493203,2.611622013100962,3.676045317750283,5.747504744456467,2.1185080364682305,0.0573521115274447,4.15615983038938,2.4846833879628645,36.54783908577021,HOU,66,27.791169883869934,3.6541513132695314,-1.168374072910446,2.485777240359085,1.8997730834576096,9.785988275471787,99.89113307370428,25,43.99108946558326
6,7,Matthew Duncan,PF,34,27.917718182243124,8.141866286027875,18.38611542597953,0.4428268885184655,1.333856825615944,3.23400755143026,0.4124470349569955,7.32274793606238,15.15210787454927,0.4832824579055612,0.4791003697490686,6.3384152939052445,7.512945208718258,0.8436658484544713,1.2995567197491606,4.628123079892795,5.927679799641956,2.8575032515881125,1.015438483947413,0.6194112997407841,2.80565013400667,1.489561653812633,23.956004691576936,CHI,78,27.917718182243124,-3.083132592265467,2.223721905135654,-0.8594106871298131,-0.7797655243981862,3.447352107374845,98.59489245947992,20,31.57038739248853
7,8,Wendy Madden,PF,34,35.00242803881052,7.880396866321322,15.886829166107916,0.4960333357856535,0.5917930405530663,1.5465550889012762,0.382652415552488,7.673973580870967,14.34027407720664,0.5351343732731355,0.5146586081532688,0.300394125671537,0.3499336917567391,0.8584315621725266,3.2048716587761845,5.4274337869865565,8.632305445762741,2.1524208622592598,0.6195808263284821,0.6613542572540814,1.6146182028743128,1.7342417136520685,16.65298089886725,MIA,61,35.00242803881052,-8.638370680417127,-2.409532995037943,-11.047903675455071,-9.82871277340392,11.97571527674485,96.08338346867048,39,27.1040240875975
8,9,Hannah Robinson,C,26,25.20052683943047,7.362323965914261,16.381548968152785,0.4494278276265135,0.9694339065468824,2.8267081752472905,0.3429550722766324,7.097424338053662,13.554840792905496,0.5236080929676726,0.4790170291248441,6.60069029599308,9.007199533828588,0.7328238117966284,2.3411991915000705,5.021660486983704,7.362859678483774,2.604928218450149,0.8902720888792869,3.03054760718913,3.3001205821238573,2.7760379660253807,22.29477213436849,HOU,56,25.20052683943047,-0.0140879840206778,-4.7124359505828455,-4.726523934603524,-2.779254176327688,19.399243875992763,99.98387140635565,36,32.88325914524696
9,10,Benjamin Nguyen,PG,30,21.08374468917238,9.040604483083696,19.366363223794867,0.4668199381893126,1.390848491697528,4.101259621830333,0.3391271511547987,6.964507095896566,15.265103601964531,0.4562371325799762,0.5027288095562565,2.781253248231173,3.662801977981125,0.7593239451519989,0.8524028784371469,1.892387533000104,2.744790411437251,5.270596618778954,1.6636116931829332,0.2506575301672532,1.481931751812171,2.3123871537099894,22.25331070609609,HOU,77,21.08374468917238,3.2889893686232665,-1.0062330722125186,2.282756296410748,1.5441403843610917,15.175562754509896,92.59899564979756,42,30.70103520785032
10,11,Jennifer Harris,PF,20,24.87250065139922,2.9896653664601187,7.232726974998788,0.4133524432478138,0.7702878535343434,2.390692945093946,0.3222027551112691,2.2932515150430146,4.842034029904842,0.4736132585768057,0.4666026112824279,0.8788858551254619,0.9765209547890552,0.9000174044553052,1.423562161590364,4.242551088496611,5.666113250086974,0.8169603886649475,0.93493221154662,1.7115697375543846,1.3998682622698368,3.340966310952384,7.628504441580043,MIA,76,24.87250065139922,0.4495011490187935,0.4227221042139655,0.8722232532327591,0.686988492082916,13.772097925598311,88.59843705773721,56,15.35821176716313
11,12,Elizabeth Osborne,C,19,26.42348145370016,5.644755322733482,10.893598609576731,0.5181717745475852,1.2829055355305168,3.65753195520975,0.3507571639129932,3.6332558467067217,7.236066654366981,0.5021037008433366,0.5770552336096207,6.096039487989904,7.931649023992173,0.7685715126262147,3.109354074065097,6.981789605742531,10.091143679807628,2.179597748934676,0.4808900104848589,1.6082292947909875,2.0055012557808176,1.3316073486366278,18.668455668987384,OKC,57,26.42348145370016,-2.3154572332702656,4.983905191824462,2.6684479585541965,1.6746050221467454,10.328764544248164,96.41076546744708,53,31.02281514722472
12,13,Christian Hopkins,PG,34,23.69558022832477,7.037716559002908,16.063063708534994,0.4381304019396665,2.702875968330253,7.744011360944608,0.3490278929550225,3.6052311863505015,8.319052347590386,0.4333704171719459,0.5222636662214393,1.4101150510402802,1.774300804270052,0.7947440747626794,0.2711945357302523,0.7288054642697477,1.0,8.753585841164329,2.5610780985063166,0.3032465260551147,1.8050384284423504,1.5898650108845922,18.188424137376348,CLE,74,23.69558022832477,4.629202955577251,3.96979142145371,8.598994377030962,6.282543301935399,11.35793926730146,95.67167614372728,38,29.00129617465976
13,14,Randy Henderson,SF,19,34.86316433449396,8.825634091960714,19.130051171311525,0.4613492150609675,0.5428625941511781,1.4580754756645224,0.3723144674000959,9.486530664535422,17.671975695647003,0.5368121158559631,0.4755379537446696,5.002853514052164,5.864790454282951,0.8530319289410706,1.9559082920802364,4.259768788589373,6.215677080669609,6.0889496774155845,1.1376272525608089,0.8778697628655101,2.231025172683315,1.892341042216859,23.196984292124768,MIA,54,34.86316433449396,-1.6351128460412745,-3.802146904537005,-5.43725975057828,-4.265101804809155,12.551497893167108,95.84987307075042,42,35.28608289295296
14,15,Lori Raymond,C,35,34.42495233593333,9.47441699002303,19.310200989849484,0.490643105941948,1.0056447713855896,3.2592576838472245,0.3085502494538963,7.254881081016138,16.05094330600226,0.4519909479901515,0.5166823163032025,5.494587210246523,6.6158515703661065,0.8305185132716733,4.469893701159885,7.434128486533504,11.90402218769339,1.0354702513550322,0.5133288505281162,1.32225567954182,2.4290984060358523,2.582129168316148,25.449065961678173,NYK,75,34.42495233593333,3.8329946873652743,-1.77471416650749,2.058280520857785,2.2142565257659146,14.73548690585019,96.98903673783052,56,37.79504452476067
15,16,Bridget Torres,SG,30,25.68692439217226,7.369875046561815,15.693871754593816,0.4696020944866298,1.275284403959245,3.750949504812632,0.3399897552134465,6.941656952726238,11.942922249781184,0.5812360499000504,0.5102321067583292,2.2934801159240465,2.869411192618916,0.7992859726147453,0.2595270349018622,0.7404729650981379,1.0,5.581187978848291,1.4531409749530846,0.0,3.401907441802796,1.9366843204471529,18.308514613006924,HOU,62,25.68692439217226,-4.32195821642045,0.8079529627576159,-3.514005253662834,-2.331819671000444,21.06833287939454,100.02291447558764,31,22.940936125005503
16,17,Oscar Santiago,PG,27,30.450362934908306,5.685666791267628,12.57285806232575,0.4522175278749534,0.6134148548408469,1.6477450440218575,0.3722753450640692,4.445561415163457,10.925113018303891,0.4069121671982139,0.4766119357255808,4.579765623074252,5.792488175455356,0.7906387521825593,0.7526402751252934,1.23647517729098,1.9891154524162733,6.248191307401437,1.3707911320912822,0.3183482320141003,2.056714752788241,3.2486345664286085,16.564514060450357,OKC,59,30.450362934908306,-0.4915957903889041,5.582334162357498,5.090738371968594,3.810781262897237,19.39126057411232,93.6026607987662,29,24.434245431585204
17,18,Jessica Wilson,C,25,27.128992755961605,6.176119619743157,15.644106139619431,0.3947889105726433,1.13634451428781,3.523143682595193,0.3225370909229464,4.32767245855577,12.12096245702424,0.3570403318960725,0.4311075248848399,4.114825895512742,5.430001510781017,0.7577946133795627,3.9402146748025473,7.35490154322488,11.295116218027427,0.0080256745411506,1.177047315703255,1.7358209772240345,3.8088166333327287,2.2995574386838564,17.603409649286867,MIA,52,27.128992755961605,0.1368235197767851,1.1675387284336185,1.3043622482104036,0.7666974029617464,10.662996810583104,97.48079441285,40,28.010603201450007
18,19,Katherine Ramirez,SG,29,30.122550871294717,5.747053508388254,12.930609748447802,0.4444534032185245,1.6510034780927516,5.952618252962205,0.2773575270463819,3.622975421221349,6.977991495485597,0.5192003205457084,0.5082943012972457,3.684552083491793,5.03184249183159,0.7322471022241034,2.631978562985405,5.6743863520377085,8.306364915023114,4.9959965824909,1.780457443118017,0.5918541652170414,4.232600404017977,1.2329080725027888,16.829662578361052,MIA,68,30.122550871294717,-5.738119551192657,1.0874293764159062,-4.65069017477675,-3.969235122329723,14.85673755163394,102.85261910006604,48,28.27173528019215
19,20,Deborah Lopez,SG,31,23.398833964896788,9.932113364930164,21.41548949666165,0.4637817578943703,1.0363029409933322,4.557446069941323,0.2273867699342133,7.332158328061579,16.85804342672033,0.4349353090667666,0.4879769307657371,3.7827426718222887,4.744882690917417,0.7972257520851164,0.3939828795629206,0.6060171204370793,1.0,7.6629175317087075,1.671776048288515,0.3061648695790591,3.459389308999694,2.7116438032321497,24.683272342675952,SAS,55,23.398833964896788,4.548699968801689,0.9373754432938424,5.486075412095531,2.9417613428162217,10.434881458917795,90.00438263731259,20,31.86474148325254
20,21,Megan Miller,SF,31,31.665866474199124,8.741244911968456,18.57130145719542,0.4706856399976037,1.028460712248852,4.68417700861183,0.2195605995157812,6.21095719227509,13.887124448583592,0.447245735808796,0.4983751563898534,5.187484351682423,6.027467708769801,0.8606407536841343,1.4400943617981132,2.524081126590618,3.9641754883887312,2.4841956709129134,0.0,0.5195210814151462,3.1031135479465064,2.5347009105095832,23.69843488786819,HOU,62,31.665866474199124,4.831735389669901,3.821980171766456,8.653715561436357,7.079041204748688,7.657090314761502,98.58205490060378,53,27.563213580638475
21,22,Deborah Pham,PG,24,27.56642751978625,9.94036303927757,21.185621718785303,0.4692032724469653,0.970384706192152,3.9346105038118138,0.2466278949980061,8.203614843131575,17.25101121497349,0.4755439980243605,0.4921052367856308,1.3910609989902936,1.668972194763268,0.833483627441502,0.7475389664461984,2.223024516283928,2.970563482730127,10.003336922592409,1.9907736883650409,0.2330700557063932,4.166598246096848,1.8420841495708515,22.242171783737582,OKC,82,27.56642751978625,-1.5416007520100807,-3.177640565666855,-4.719241317676936,-4.444831310847495,11.68660451363414,102.7757116025062,48,33.273317687034705
